name,perturbation,level,repeat,baseline_blas,perturbed_blas,delta_blas
Image62-F15.png,add_false_positive_bline_pixels,0.04800000000000001,4,0.312608587738893,0.34389736907421203,0.03128878133531904
Image62-F15.png,remove_bline_pixels,0.6000000000000001,5,0.312608587738893,0.12130801687763712,-0.19130057086125588
Image62-F15.png,add_false_positive_bline_pixels,0.04800000000000001,5,0.312608587738893,0.3455416976917349,0.03293310995284188
Image62-F15.png,remove_bline_pixels,0.6000000000000001,6,0.312608587738893,0.12445360309728987,-0.18815498464160313
Image62-F15.png,add_false_positive_bline_pixels,0.04800000000000001,6,0.312608587738893,0.345976048647307,0.033367460908414026
Image62-F15.png,remove_bline_pixels,0.6000000000000001,7,0.312608587738893,0.12033220931684775,-0.19227637842204526
Image62-F15.png,add_false_positive_bline_pixels,0.04800000000000001,7,0.312608587738893,0.3454175974187143,0.03280900967982131
Image62-F15.png,remove_bline_pixels,0.6000000000000001,8,0.312608587738893,0.12472077438570363,-0.18788781335318938
Image62-F15.png,add_false_positive_bline_pixels,0.04800000000000001,8,0.312608587738893,0.34426966989327373,0.03166108215438074
Image62-F15.png,remove_bline_pixels,0.6000000000000001,9,0.312608587738893,0.12509307520476545,-0.18751551253412754
Image62-F15.png,add_false_positive_bline_pixels,0.04800000000000001,9,0.312608587738893,0.34572784810126567,0.03311926036237267
Image62-F15.png,remove_bline_pixels,0.7000000000000001,0,0.312608587738893,0.09543310995284189,-0.21717547778605112
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,0,0.312608587738893,0.35170017374038215,0.039091586001489154
Image62-F15.png,remove_bline_pixels,0.7000000000000001,1,0.312608587738893,0.09191957037592106,-0.22068901736297192
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,1,0.312608587738893,0.349807644576818,0.037199056837925015
Image62-F15.png,remove_bline_pixels,0.7000000000000001,2,0.312608587738893,0.09429249406769079,-0.2183160936712022
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,2,0.312608587738893,0.35038160833953835,0.03777302060064536
Image62-F15.png,remove_bline_pixels,0.7000000000000001,3,0.312608587738893,0.08978654753040458,-0.22282204020848842
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,3,0.312608587738893,0.34965251923554225,0.03704393149664925
Image62-F15.png,remove_bline_pixels,0.7000000000000001,4,0.312608587738893,0.0977894342450356,-0.21481915349385738
Image62-F15.png,add_false_positive_bline_pixels,0.05600000000000001,4,0.312608587738893,0.3484115165053363,0.03580292876644331
