name,split,conformal_alpha,probability_threshold,pixel_coverage,mean_prediction_set_size,fraction_ambiguous_pixels,mean_max_probability,mean_entropy,pixel_accuracy,blas_abs_error,category_error
S112-F28.png,heldout_eval,0.1,0.9911817312240601,0.9101104736328125,0.9139556884765625,0.0,0.989474356174469,0.03882789984345436,0.98101806640625,0.03931710507425534,False
S379-F49.png,heldout_eval,0.1,0.9911817312240601,0.8924713134765625,0.89422607421875,0.0,0.985231339931488,0.049266986548900604,0.927398681640625,0.4960198355735352,False
S176-F02.png,heldout_eval,0.1,0.9911817312240601,0.8877716064453125,0.889923095703125,0.0,0.9857982397079468,0.0472191721200943,0.97357177734375,0.02926957569563607,False
S144-F38.png,heldout_eval,0.1,0.9911817312240601,0.8533172607421875,0.882659912109375,0.0,0.9870521426200867,0.04556423798203468,0.9275665283203125,0.09397241962664621,False
S176-F08.png,heldout_eval,0.1,0.9911817312240601,0.8822021484375,0.894927978515625,0.0,0.9860000014305115,0.046572037041187286,0.9606475830078125,0.09351749019952213,False
S176-F60.png,heldout_eval,0.1,0.9911817312240601,0.8770751953125,0.8922576904296875,0.0,0.9869601726531982,0.0451003834605217,0.956024169921875,0.10689554213645255,False
S01-F51.png,heldout_eval,0.1,0.9911817312240601,0.9604644775390625,0.9610443115234375,0.0,0.9942187070846558,0.025518737733364105,0.9897003173828125,0.004578506642944347,False
S366-F22.png,heldout_eval,0.1,0.9911817312240601,0.905670166015625,0.9111328125,0.0,0.9872322082519531,0.042723190039396286,0.96380615234375,0.005321890720543843,False
S364-F80.png,heldout_eval,0.1,0.9911817312240601,0.9580230712890625,0.9659576416015625,0.0,0.9943562746047974,0.025733979418873787,0.982147216796875,0.0,False
S176-F59.png,heldout_eval,0.1,0.9911817312240601,0.87359619140625,0.89202880859375,0.0,0.9868277907371521,0.0452706553041935,0.9549560546875,0.022919071669071645,False
S123-F21.png,heldout_eval,0.1,0.9911817312240601,0.8892974853515625,0.89404296875,0.0,0.9862636923789978,0.04616425186395645,0.9729766845703125,0.047120256079587364,False
S185-F08.png,heldout_eval,0.1,0.9911817312240601,0.860809326171875,0.87738037109375,0.0,0.9820173978805542,0.05426054075360298,0.9434356689453125,0.17067291531997408,False
S409-F75.png,heldout_eval,0.1,0.9911817312240601,0.9521636962890625,0.95660400390625,0.0,0.99378502368927,0.027093661949038506,0.98065185546875,0.15245535714285716,False
S31-F29.png,heldout_eval,0.1,0.9911817312240601,0.9406890869140625,0.943817138671875,0.0,0.9908820390701294,0.03314138203859329,0.9779815673828125,0.17994193873277367,False
S169-F02.png,heldout_eval,0.1,0.9911817312240601,0.8941497802734375,0.903594970703125,0.0,0.9872280955314636,0.04269327223300934,0.9640045166015625,0.04388541967102427,False
S362-F81.png,heldout_eval,0.1,0.9911817312240601,0.947265625,0.952423095703125,0.0,0.9927725791931152,0.029372580349445343,0.981719970703125,0.12242211496270294,False
S198-F64.png,heldout_eval,0.1,0.9911817312240601,0.8734130859375,0.908416748046875,0.0,0.991370439529419,0.0342300646007061,0.94476318359375,0.03039697841099709,False
S349-F60.png,heldout_eval,0.1,0.9911817312240601,0.8817138671875,0.9370269775390625,0.0,0.9901183843612671,0.03550086170434952,0.919158935546875,0.22679640662219513,False
S75-F40.png,heldout_eval,0.1,0.9911817312240601,0.9300079345703125,0.955108642578125,0.0,0.9926075339317322,0.029508162289857864,0.937469482421875,0.39779940456128526,True
S328-F25.png,heldout_eval,0.1,0.9911817312240601,0.9060516357421875,0.928253173828125,0.0,0.9899754524230957,0.036156754940748215,0.9539031982421875,0.10121650871650884,False
S153-F34.png,heldout_eval,0.1,0.9911817312240601,0.917999267578125,0.9224853515625,0.0,0.9896707534790039,0.03694123774766922,0.9775848388671875,0.035886249002947276,False
S198-F31.png,heldout_eval,0.1,0.9911817312240601,0.892791748046875,0.9272308349609375,0.0,0.9841788411140442,0.04892786592245102,0.9324493408203125,0.09988768411337401,False
S104-F66.png,heldout_eval,0.1,0.9911817312240601,0.9245147705078125,0.9383544921875,0.0,0.9850257635116577,0.04658518359065056,0.94085693359375,0.17081820135989756,True
