run_id,status,timestamp_utc,seed,data_size_target,n_train,n_valid,n_test,width_multiplier,filters,parameter_count,epochs_requested,epochs_completed,best_epoch,best_valid_loss,best_valid_mean_dice_ex_bg,test_pixel_accuracy,test_mean_dice_ex_bg,test_blas_mae,test_blas_corr,elapsed_sec,output_dir
n0256_seed48_w1,completed,2026-05-16T12:08:46.912277+00:00,48,256,257,93,100,1.0,32x64x128x256x512,7849190,200,157,132,0.28148179733625023,0.703659638838851,0.9553359985351563,0.7035667366049777,0.17405283212383352,0.5777422268651093,620.203,outputs/scaling_law/runs/n0256_seed48_w1
n0320_seed48_w1,completed,2026-05-16T12:22:00.472592+00:00,48,320,320,93,100,1.0,32x64x128x256x512,7849190,200,172,147,0.26806083257480334,0.7251790807155536,0.9587513732910157,0.7145276897936962,0.1581461000515705,0.6232404696558949,793.429,outputs/scaling_law/runs/n0320_seed48_w1
n0370_seed48_w1,completed,2026-05-16T12:32:55.890441+00:00,48,370,371,93,100,1.0,32x64x128x256x512,7849190,200,126,101,0.26970082265074535,0.7207522366280932,0.9579823303222657,0.7130752354458707,0.16123510995880752,0.6042335850009735,655.281,outputs/scaling_law/runs/n0370_seed48_w1
n0032_seed49_w1,completed,2026-05-16T12:37:56.405613+00:00,49,32,32,93,100,1.0,32x64x128x256x512,7849190,200,200,196,0.513845246325257,0.45477240215824255,0.9238603210449219,0.44496608741888377,0.22503584405715849,0.5367564802522016,300.411,outputs/scaling_law/runs/n0032_seed49_w1
n0064_seed49_w1,completed,2026-05-16T12:44:07.828924+00:00,49,64,64,93,100,1.0,32x64x128x256x512,7849190,200,200,194,0.35049716631571454,0.6089903596647088,0.94558837890625,0.6381073083132408,0.20790392410097452,0.5072459199580781,371.346,outputs/scaling_law/runs/n0064_seed49_w1
n0128_seed49_w1,completed,2026-05-16T12:51:40.949559+00:00,49,128,129,93,100,1.0,32x64x128x256x512,7849190,200,177,152,0.3167380687370095,0.6454886825359534,0.9533833312988281,0.6739705119422019,0.16369110486541505,0.6166963119800193,453.019,outputs/scaling_law/runs/n0128_seed49_w1
n0192_seed49_w1,completed,2026-05-16T12:57:39.265647+00:00,49,192,192,93,100,1.0,32x64x128x256x512,7849190,200,110,85,0.3032670623512678,0.6713344808920894,0.9526739501953125,0.6905474961034788,0.176981716908407,0.595142777852453,358.23,outputs/scaling_law/runs/n0192_seed49_w1
n0256_seed49_w1,completed,2026-05-16T13:05:51.846616+00:00,49,256,258,93,100,1.0,32x64x128x256x512,7849190,200,124,99,0.2882707993830404,0.6994030337425914,0.9580705261230469,0.7010039096683401,0.1634776818064651,0.5913289101770641,492.465,outputs/scaling_law/runs/n0256_seed49_w1
n0320_seed49_w1,completed,2026-05-16T13:15:10.707614+00:00,49,320,320,93,100,1.0,32x64x128x256x512,7849190,200,120,95,0.28255427300289115,0.7059887934334946,0.9555075073242187,0.7112692581165727,0.16386303697567503,0.6102269013223115,558.744,outputs/scaling_law/runs/n0320_seed49_w1
n0370_seed49_w1,completed,2026-05-16T13:26:55.470814+00:00,49,370,371,93,100,1.0,32x64x128x256x512,7849190,200,136,111,0.2806190374077007,0.717422126376289,0.9577659606933594,0.7118695022717055,0.15605600847705914,0.6357613492955105,704.652,outputs/scaling_law/runs/n0370_seed49_w1
n0032_seed50_w1,completed,2026-05-16T13:31:51.502518+00:00,50,32,32,93,100,1.0,32x64x128x256x512,7849190,200,200,196,0.5368255793407399,0.4788178287344877,0.9433573913574219,0.48778053079722794,0.19761379246097108,0.5684593387423869,295.938,outputs/scaling_law/runs/n0032_seed50_w1
n0064_seed50_w1,completed,2026-05-16T13:38:01.545503+00:00,50,64,65,93,100,1.0,32x64x128x256x512,7849190,200,200,197,0.3204814878202254,0.6638031444783304,0.9485670471191406,0.6818232955931849,0.17932687861789876,0.5907121064947269,369.943,outputs/scaling_law/runs/n0064_seed50_w1
n0128_seed50_w1,completed,2026-05-16T13:46:18.629947+00:00,50,128,129,93,100,1.0,32x64x128x256x512,7849190,200,196,171,0.2961077892011212,0.6846437023384077,0.9567453002929688,0.7046369771064771,0.15532791732632326,0.6593521588893154,496.96,outputs/scaling_law/runs/n0128_seed50_w1
n0192_seed50_w1,completed,2026-05-16T13:55:27.866920+00:00,50,192,194,93,100,1.0,32x64x128x256x512,7849190,200,169,144,0.2763030291885458,0.7058036352537834,0.9581413269042969,0.711693640477014,0.1652573126989201,0.5951146413078275,549.135,outputs/scaling_law/runs/n0192_seed50_w1
n0256_seed50_w1,completed,2026-05-16T14:03:39.652754+00:00,50,256,257,93,100,1.0,32x64x128x256x512,7849190,200,124,99,0.27548611100002,0.7079604637211415,0.9574371337890625,0.7134968498975379,0.15893808162855388,0.6217219306734404,491.7,outputs/scaling_law/runs/n0256_seed50_w1
n0320_seed50_w1,completed,2026-05-16T14:11:41.164125+00:00,50,320,321,93,100,1.0,32x64x128x256x512,7849190,200,103,78,0.2729383235977542,0.7144178592062295,0.9563496398925782,0.7137291511442491,0.16887643540051583,0.6097529622591569,481.419,outputs/scaling_law/runs/n0320_seed50_w1
n0370_seed50_w1,completed,2026-05-16T14:21:14.508719+00:00,50,370,370,93,100,1.0,32x64x128x256x512,7849190,200,111,86,0.2705054504256095,0.714688021984599,0.9584986877441406,0.7170435757594638,0.1567790609701232,0.6215935585457628,573.261,outputs/scaling_law/runs/n0370_seed50_w1
n0032_seed51_w1,completed,2026-05-16T14:26:16.188756+00:00,51,32,32,95,100,1.0,32x64x128x256x512,7849190,200,200,198,0.5563672780990601,0.3935568303644095,0.9370137023925781,0.36885947361172705,0.2587970176425435,0.22614085958903024,301.581,outputs/scaling_law/runs/n0032_seed51_w1
n0064_seed51_w1,completed,2026-05-16T14:33:01.455875+00:00,51,64,68,95,100,1.0,32x64x128x256x512,7849190,200,200,200,0.3413487578693189,0.5591756075821712,0.9451681518554688,0.5461516767406185,0.23007029928698997,0.3023302876267912,405.18,outputs/scaling_law/runs/n0064_seed51_w1
n0128_seed51_w1,completed,2026-05-16T14:41:18.177613+00:00,51,128,132,95,100,1.0,32x64x128x256x512,7849190,200,193,168,0.3000395975614849,0.6692181481112062,0.9544039916992187,0.6919627042232259,0.16697928593265196,0.5882249404217916,496.606,outputs/scaling_law/runs/n0128_seed51_w1
n0192_seed51_w1,completed,2026-05-16T14:48:55.820068+00:00,51,192,194,95,100,1.0,32x64x128x256x512,7849190,200,140,115,0.29172705788361397,0.6884758706677518,0.9555941772460937,0.6975781397176233,0.158295390472846,0.6189510316848172,457.549,outputs/scaling_law/runs/n0192_seed51_w1
n0256_seed51_w1,completed,2026-05-16T14:56:31.823239+00:00,51,256,258,95,100,1.0,32x64x128x256x512,7849190,200,115,90,0.28525066062023763,0.6929009184375058,0.9559696960449219,0.7010433968766874,0.15911321168038126,0.6028486069824768,455.898,outputs/scaling_law/runs/n0256_seed51_w1
n0320_seed51_w1,completed,2026-05-16T15:04:37.394486+00:00,51,320,320,95,100,1.0,32x64x128x256x512,7849190,200,104,79,0.28241073991123,0.6982422791924012,0.9542228698730468,0.6970522172342071,0.16910691232123223,0.609436830460386,485.466,outputs/scaling_law/runs/n0320_seed51_w1
n0370_seed51_w1,completed,2026-05-16T15:14:13.014227+00:00,51,370,369,95,100,1.0,32x64x128x256x512,7849190,200,111,86,0.285943614495428,0.692590268398791,0.9549966430664063,0.7022634284767871,0.15729486131953652,0.6430393150947383,575.529,outputs/scaling_law/runs/n0370_seed51_w1
n0032_seed47_w1.5,completed,2026-05-16T15:19:27.108137+00:00,47,32,34,93,100,1.5,48x96x192x384x768,17655894,200,200,200,0.3864981445573991,0.5274485507782846,0.9438153076171875,0.5347463943089397,0.22148068119799555,0.41593158210350617,313.969,outputs/scaling_law/runs/n0032_seed47_w1.5
n0064_seed47_w1.5,completed,2026-05-16T15:25:21.591580+00:00,47,64,68,93,100,1.5,48x96x192x384x768,17655894,200,184,159,0.32476170120700715,0.6487698900884039,0.951859130859375,0.6753989531736596,0.17349204298619317,0.589782380684674,354.349,outputs/scaling_law/runs/n0064_seed47_w1.5
n0128_seed47_w1.5,completed,2026-05-16T15:32:04.207994+00:00,47,128,132,93,100,1.5,48x96x192x384x768,17655894,200,154,129,0.29151532470539054,0.68032792090395,0.9494303894042969,0.6836496304046171,0.18465442546425462,0.5859972779256276,402.487,outputs/scaling_law/runs/n0128_seed47_w1.5
n0192_seed47_w1.5,completed,2026-05-16T15:38:24.371165+00:00,47,192,193,93,100,1.5,48x96x192x384x768,17655894,200,114,89,0.29543416314227605,0.6814564600043369,0.9544415283203125,0.7026168591021213,0.17340634017230225,0.6068357270201593,380.03,outputs/scaling_law/runs/n0192_seed47_w1.5
n0256_seed47_w1.5,completed,2026-05-16T15:45:16.119133+00:00,47,256,259,93,100,1.5,48x96x192x384x768,17655894,200,102,77,0.28763916928281064,0.6823184259102604,0.9564608764648438,0.6966333738848254,0.1891168028760622,0.5379011880294982,411.597,outputs/scaling_law/runs/n0256_seed47_w1.5
n0320_seed47_w1.5,completed,2026-05-16T15:55:32.874215+00:00,47,320,322,93,100,1.5,48x96x192x384x768,17655894,200,131,106,0.280123423184118,0.7006223436098711,0.9578302001953125,0.7112299418891203,0.15597876072669992,0.6298995312567469,616.617,outputs/scaling_law/runs/n0320_seed47_w1.5
n0370_seed47_w1.5,completed,2026-05-16T16:03:41.630412+00:00,47,370,370,93,100,1.5,48x96x192x384x768,17655894,200,92,67,0.28418302215555663,0.6952512851887935,0.9581854248046875,0.7145078871180184,0.1623454663021813,0.6031627902067354,488.62,outputs/scaling_law/runs/n0370_seed47_w1.5
n0032_seed48_w1.5,completed,2026-05-16T16:08:55.664207+00:00,48,32,33,93,100,1.5,48x96x192x384x768,17655894,200,200,200,0.3981928883060332,0.5181996121061209,0.9350654602050781,0.5100514952381605,0.18043320851192543,0.6797116755299095,313.695,outputs/scaling_law/runs/n0032_seed48_w1.5
n0064_seed48_w1.5,completed,2026-05-16T16:15:16.223802+00:00,48,64,64,93,100,1.5,48x96x192x384x768,17655894,200,200,183,0.3122195646327029,0.6651808854915282,0.9512968444824219,0.665450944928617,0.17552051233419647,0.6224110055092386,380.402,outputs/scaling_law/runs/n0064_seed48_w1.5
